pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_mass,st_rad,sy_snum,sy_pnum,discoverymethod,disc_year
"HATS-58 A b","HATS-58 A",12.27385500,3.27364900000000e+02,4.21808960000,0.0579800000,1721.00,382.7103,7175.00,1.461000,1.433000,2,1,"Transit",2019
"HR 5183 b","HR 5183",13.10000000,1.05201202717000e+03,27000.00000000000,18.0000000000,171.00,0.0077,5794.00,1.070000,1.530000,2,1,"Radial Velocity",2019
"Kepler-1991 b","Kepler-1991",1.47000000,,13.26079792000,0.1065000000,760.00,78.7900,5478.00,0.914000,1.053000,1,2,"Transit",2023
"Kepler-1471 c","Kepler-1471",1.88000000,,11.60448810000,0.0981000000,841.00,118.5000,5533.00,0.934000,1.166000,1,2,"Transit",2023
"GJ 180 b","GJ 180",2.43000000,,17.13300000000,0.0920000000,344.43,1.5359,3371.00,0.430000,0.413049,1,3,"Radial Velocity",2014
"WASP-169 b","WASP-169",14.61653600,1.78302630000000e+02,5.61141180000,0.0681000000,1604.00,1486.8579,6110.00,1.337000,2.011000,1,1,"Transit",2019
"Kepler-1998 b","Kepler-1998",0.60000000,,3.03267135000,0.0405000000,1187.00,468.3100,5640.00,0.962000,0.921000,1,1,"Transit",2023
"Kepler-164 e","Kepler-164",4.24000000,,94.88690200000,0.4025000000,429.00,7.9900,5888.00,0.966000,1.097000,1,4,"Transit",2023
"Kepler-1994 b","Kepler-1994",0.51000000,,4.61225043000,0.0530000000,1032.00,268.2700,5495.00,0.932000,0.961000,1,1,"Transit",2023
"Kepler-1984 b","Kepler-1984",6.81000000,,1.99281233900,0.0238000000,675.00,48.8200,3638.00,0.450000,0.420000,1,1,"Transit",2023
"GJ 433 d","GJ 433",2.14000000,,36.05900000000,0.1780000000,279.71,0.6312,3461.00,0.480000,0.500000,1,3,"Radial Velocity",2020
"GJ 3082 b","GJ 3082",2.79000000,,11.94900000000,0.0790000000,457.53,5.5210,3910.00,0.470000,0.465216,1,1,"Radial Velocity",2020
"WASP-175 b","WASP-175",13.54047200,3.14651700000000e+02,3.06529070000,0.0440300000,1571.00,649.4290,6229.00,1.212000,1.204000,1,1,"Transit",2019
"Kepler-619 d","Kepler-619",4.17000000,,11.67894236000,0.1021000000,830.00,112.0700,6122.00,1.041000,0.964000,1,3,"Transit",2023
"Kepler-1126 c","Kepler-1126",1.45000000,,199.66876000000,0.6193000000,305.00,2.0600,5678.00,0.794000,0.921000,1,2,"Transit",2023
"EPIC 249893012 b","EPIC 249893012",1.95000000,8.75000000000000e+00,3.59510000000,0.0470000000,1616.00,1037.0000,5430.00,1.050000,1.710000,1,3,"Transit",2020
"Kepler-1661 b","Kepler-1661",3.87000000,1.70000000000000e+01,175.06000000000,0.6330000000,243.00,0.8800,5100.00,0.841000,0.762000,2,1,"Transit",2020
